"Symbol","Description","IPO Date","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"MU","Micron Technology Inc","12/30/2009","Common stocks","Large cap","Information Technology","$66,932,769,700","0.72%","USA","Analyze"
"ETN","Eaton Corporation, PLC","01/02/2001","Common stocks","Large cap","Industrials","$65,571,276,532","1.98%","USA","Analyze"
"SLB","Schlumberger Nv","03/05/2001","Common stocks","Large cap","Energy","$64,954,060,143","1.70%","USA","Analyze"
"CME","CME Group Inc Class A","12/06/2002","Common stocks","Large cap","Financials","$64,763,945,032","4.70%","USA","Analyze"
"ATVI","Activision Blizzard Inc","02/06/2001","Common stocks","Large cap","Communication Services","$62,490,962,360","0.59%","USA","Analyze"
"AON","Aon Plc","11/19/2012","Common stocks","Large cap","Financials","$62,156,089,413","0.74%","USA","Analyze"
"EQIX","Equinix, Inc.","01/02/2001","REITs","Large cap","Real Estate","$61,828,606,021","1.89%","USA","Analyze"
"EOG","EOG Resources Inc","02/15/2001","Common stocks","Large cap","Energy","$61,581,681,113","2.83%","USA","Analyze"
"WM","Waste Management Inc","01/02/2003","Common stocks","Large cap","Industrials","$61,508,530,813","1.75%","USA","Analyze"
"HUM","Humana Inc","02/21/2001","Common stocks","Large cap","Health Care","$61,406,290,838","0.64%","USA","Analyze"
"GD","General Dynamics Corp","02/21/2001","Common stocks","Large cap","Industrials","$60,404,799,186","2.27%","USA","Analyze"
"MELI","Mercadolibre Inc","08/10/2007","Common stocks","Large cap","Consumer Discretionary","$59,884,623,204","0.00%","USA","Analyze"
"BX","Blackstone Group Inc. Class A","06/22/2007","Common stocks","Large cap","Financials","$59,652,934,339","5.12%","USA","Analyze"
"CL","Colgate-Palmolive","02/13/2001","Common stocks","Large cap","Consumer Staples","$59,646,108,486","2.59%","USA","Analyze"
"APD","Air Products And Chemicals Inc","02/07/2001","Common stocks","Large cap","Materials","$59,282,796,246","2.41%","USA","Analyze"
"PANW","Palo Alto Networks Inc","07/20/2012","Common stocks","Large cap","Information Technology","$58,672,653,874","0.00%","USA","Analyze"
"UBER","Uber Technologies, Inc.","05/08/2019","Common stocks","Large cap","Industrials","$58,023,050,421","0.00%","USA","Analyze"
"CSX","CSX Corp","11/03/1980","Common stocks","Large cap","Industrials","$57,917,960,587","1.45%","USA","Analyze"
"CHTR","Charter Communications Inc Class A","02/11/2013","Common stocks","Large cap","Communication Services","$57,866,303,671","0.00%","USA","Analyze"
"SNPS","Synopsys Inc","03/02/2001","Common stocks","Large cap","Information Technology","$57,783,256,254","0.00%","USA","Analyze"
"MRNA","Moderna, Inc.","12/07/1993","Common stocks","Large cap","Health Care","$57,628,000,036","0.00%","USA","Analyze"
"CDNS","Cadence Design Systems Inc","02/09/2001","Common stocks","Large cap","Information technology","$56,498,580,000","0.00%","USA","Analyze"
"MPC","Marathon Petroleum Corp","06/23/2011","Common stocks","Large cap","Energy","$55,711,074,738","2.09%","USA","Analyze"
"MMM","3M","02/27/2001","Common stocks","Large cap","Industrials","$55,698,356,678","5.80%","USA","Analyze"
"FDX","FedEx Corporation","02/20/2001","Common stocks","Large cap","Industrials","$54,523,262,174","2.10%","USA","Analyze"
"EPD","Enterprise Products Partners LP","02/01/2001","MLPs","Large cap","Energy","$54,205,034,485","7.42%","USA","Analyze"
"FCX","Freeport-McMoRan, Inc.","02/20/2001","Common stocks","Large cap","Materials","$54,065,914,507","1.19%","USA","Analyze"
"SHW","Sherwin Williams","03/17/1980","Common stocks","Large cap","Materials","$53,948,477,392","1.15%","USA","Analyze"
